"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Equatorial Guinea"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Eritrea"," Data source"," All types","","","","","","0.62","0.61"
"Eritrea"," Data source"," Beer","","","","","","0.38","0.40"
"Eritrea"," Data source"," Wine","","","","","","0","0"
"Eritrea"," Data source"," Spirits","","","","","","0","0"
"Eritrea"," Data source"," Other alcoholic beverages","","","","","","0.23","0.21"
"Estonia"," Data source"," All types","15.35","16.64","17.29","17.75","16.96","16.27","14.97"
"Estonia"," Data source"," Beer","5.02","5.44","5.66","5.80","5.55","5.32","4.90"
"Estonia"," Data source"," Wine","1.14","1.23","1.28","1.31","1.26","1.20","1.11"
"Estonia"," Data source"," Spirits","7.72","8.37","8.70","8.93","8.53","8.18","7.53"
"Estonia"," Data source"," Other alcoholic beverages","1.47","1.60","1.65","1.71","1.62","1.57","1.43"
"Eswatini"," Data source"," All types","","7.38","7.46","6.53","5.54","5.95","5.65"
"Eswatini"," Data source"," Beer","","1.81","1.71","1.79","1.54","1.63","1.65"
"Eswatini"," Data source"," Wine","","1.19","1.37","0.37","0.06","0.06","0.05"
"Eswatini"," Data source"," Spirits","","0","0","0","0","0.13","0.02"
"Eswatini"," Data source"," Other alcoholic beverages","","4.37","4.37","4.37","3.94","4.12","3.93"
"Ethiopia"," Data source"," All types","","1.43","1.43","1.43","1.40","0.86","0.88"
"Ethiopia"," Data source"," Beer","","0.78","0.78","0.78","0.78","0.35","0.36"
"Ethiopia"," Data source"," Wine","","0","0","0","0","0","0"
"Ethiopia"," Data source"," Spirits","","0.12","0.12","0.12","0.12","0.05","0.06"
"Ethiopia"," Data source"," Other alcoholic beverages","","0.53","0.53","0.53","0.50","0.46","0.46"
"Fiji"," Data source"," All types","","2.21","2.32","2.30","2.24","2.13","2.25"
"Fiji"," Data source"," Beer","","1.54","1.66","1.64","1.57","1.49","1.35"
"Fiji"," Data source"," Wine","","0.03","0.03","0.03","0.03","0.02","0.02"
"Fiji"," Data source"," Spirits","","0.64","0.64","0.64","0.64","0.62","0.88"
"Fiji"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Finland"," Data source"," All types","8.43","8.51","8.75","9.07","9.27","9.81","9.72"
"Finland"," Data source"," Beer","4.11","4.13","4.17","4.28","4.27","4.61","4.47"
"Finland"," Data source"," Wine","1.74","1.75","1.80","1.84","1.89","1.74","1.70"
"Finland"," Data source"," Spirits","1.81","1.84","1.92","2.03","2.15","2.25","2.33"
"Finland"," Data source"," Other alcoholic beverages","0.77","0.79","0.86","0.92","0.96","1.21","1.22"
"France"," Data source"," All types","11.74","11.87","11.97","11.64","12.24","12.37","12.33"
"France"," Data source"," Beer","2.21","2.16","2.26","1.80","2.15","2.10","2.18"
"France"," Data source"," Wine","6.90","7.09","7.04","7.13","7.33","7.41","7.27"
"France"," Data source"," Spirits","2.43","2.42","2.47","2.50","2.54","2.64","2.65"
"France"," Data source"," Other alcoholic beverages","0.20","0.20","0.20","0.21","0.22","0.22","0.23"
"Gabon"," Data source"," All types","","9.54","9.54","8.70","8.27","8.65","8.86"
"Gabon"," Data source"," Beer","","7.28","7.25","6.20","5.81","5.78","5.94"
"Gabon"," Data source"," Wine","","0.88","0.83","0.92","0.91","1.11","1.16"
"Gabon"," Data source"," Spirits","","1.27","1.35","1.45","1.44","1.69","1.70"
"Gabon"," Data source"," Other alcoholic beverages","","0.10","0.11","0.12","0.11","0.07","0.06"
"Gambia"," Data source"," All types","","2.96","2.94","2.89","2.97","2.92","3.06"
"Gambia"," Data source"," Beer","","0.25","0.25","0.22","0.21","0.17","0.17"
"Gambia"," Data source"," Wine","","0.06","0.04","0.02","0.02","0.02","0.02"
"Gambia"," Data source"," Spirits","","0","0","0","0","0.01","0.01"
"Gambia"," Data source"," Other alcoholic beverages","","2.65","2.65","2.65","2.74","2.72","2.86"
"Georgia"," Data source"," All types","7.44","7.44","7.23","7.06","7.59","8.68","8.10"
"Georgia"," Data source"," Beer","1.37","1.37","1.36","1.35","1.26","1.91","1.40"
"Georgia"," Data source"," Wine","3.20","3.10","2.86","2.72","3.31","3.85","3.81"
"Georgia"," Data source"," Spirits","2.86","2.97","3.01","2.98","3.02","2.92","2.89"
"Georgia"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0","0"
"Germany"," Data source"," All types","10.90","11.99","11.60","11.67","11.76","11.87","11.35"
"Germany"," Data source"," Beer","5.74","5.66","5.71","5.71","5.83","5.98","5.91"
"Germany"," Data source"," Wine","3.10","3.84","3.41","3.55","3.47","3.46","3.29"
"Germany"," Data source"," Spirits","2.07","2.49","2.48","2.41","2.46","2.43","2.15"
"Germany"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Ghana"," Data source"," All types","","1.56","1.56","1.60","1.79","1.86","1.94"
"Ghana"," Data source"," Beer","","0.44","0.46","0.43","0.44","0.48","0.48"
"Ghana"," Data source"," Wine","","0.10","0.09","0.15","0.24","0.21","0.17"
"Ghana"," Data source"," Spirits","","0.13","0.13","0.13","0.10","0.11","0.04"
"Ghana"," Data source"," Other alcoholic beverages","","0.89","0.89","0.89","1.01","1.06","1.24"
"Greece"," Data source"," All types","6.52","6.64","6.99","7.52","7.62","8.03","8.99"
"Greece"," Data source"," Beer","2.05","2.04","2.09","2.12","2.11","2.10","2.24"
"Greece"," Data source"," Wine","2.96","3.08","3.32","3.81","3.92","4.21","4.78"
"Greece"," Data source"," Spirits","1.42","1.44","1.50","1.50","1.49","1.62","1.84"
"Greece"," Data source"," Other alcoholic beverages","0.08","0.08","0.09","0.09","0.09","0.10","0.13"
"Grenada"," Data source"," All types","8.88","8.67","8.47","8.37","8.28","8.11","8.18"
"Grenada"," Data source"," Beer","3.63","3.57","3.56","3.58","3.57","3.55","3.55"
"Grenada"," Data source"," Wine","0.62","0.62","0.60","0.50","0.42","0.37","0.43"
"Grenada"," Data source"," Spirits","4.29","4.16","4.01","4.05","4.09","3.99","3.99"
"Grenada"," Data source"," Other alcoholic beverages","0.34","0.33","0.29","0.24","0.20","0.20","0.20"
"Guatemala"," Data source"," All types","1.62","1.62","1.65","1.81","1.90","2.02","1.99"
"Guatemala"," Data source"," Beer","0.91","0.90","0.94","0.92","0.93","0.85","0.82"
"Guatemala"," Data source"," Wine","0.03","0.04","0.04","0.04","0.04","0.03","0.03"
"Guatemala"," Data source"," Spirits","0.67","0.67","0.67","0.85","0.93","1.13","1.14"
"Guatemala"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Guinea"," Data source"," All types","","0.34","0.28","0.22","0.22","0.22","0.20"
"Guinea"," Data source"," Beer","","0.31","0.26","0.20","0.19","0.18","0.15"
"Guinea"," Data source"," Wine","","0.03","0.03","0.03","0.03","0.02","0.03"
"Guinea"," Data source"," Spirits","","0","0","0","0","0.01","0.01"
"Guinea"," Data source"," Other alcoholic beverages","","0","0","0","0","0.01","0.01"
"Guinea-Bissau"," Data source"," All types","","2.81","2.80","2.69","2.83","2.96","2.83"
"Guinea-Bissau"," Data source"," Beer","","0.39","0.39","0.39","0.45","0.49","0.43"
"Guinea-Bissau"," Data source"," Wine","","0.88","0.86","0.76","0.89","0.89","0.69"
"Guinea-Bissau"," Data source"," Spirits","","0.39","0.39","0.39","0.40","0.51","0.52"
"Guinea-Bissau"," Data source"," Other alcoholic beverages","","1.16","1.16","1.16","1.09","1.07","1.20"
"Guyana"," Data source"," All types","5.31","4.75","5.20","5.11","5.13","5.11","5.08"
"Guyana"," Data source"," Beer","2.57","1.86","1.86","1.84","1.81","1.75","1.71"
"Guyana"," Data source"," Wine","0.01","0.02","0.02","0.02","0.02","0.03","0.02"
"Guyana"," Data source"," Spirits","2.70","2.85","3.29","3.21","3.27","3.30","3.32"
"Guyana"," Data source"," Other alcoholic beverages","0.03","0.03","0.03","0.03","0.03","0.03","0.03"
"Haiti"," Data source"," All types","","5.81","5.81","5.81","5.81","5.71","5.77"
"Haiti"," Data source"," Beer","","0.13","0.13","0.13","0.13","0.12","0.11"
"Haiti"," Data source"," Wine","","0.02","0.02","0.02","0.02","0.01","0.01"
"Haiti"," Data source"," Spirits","","5.65","5.65","5.65","5.65","5.57","5.65"
"Haiti"," Data source"," Other alcoholic beverages","","0.01","0.01","0.01","0.01","0.01","0.01"
"Honduras"," Data source"," All types","2.86","2.84","2.64","2.92","2.92","2.94","2.91"
"Honduras"," Data source"," Beer","1.33","1.33","1.24","1.24","1.23","1.21","1.16"
"Honduras"," Data source"," Wine","0.03","0.03","0.03","0.03","0.03","0.03","0.03"
"Honduras"," Data source"," Spirits","1.49","1.47","1.37","1.65","1.67","1.69","1.71"
"Honduras"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Hungary"," Data source"," All types","","10.90","10.88","10.70","11.14","11.35","10.75"
"Hungary"," Data source"," Beer","","3.93","3.90","3.77","4.06","4.04","3.91"
"Hungary"," Data source"," Wine","","3.41","2.90","3.20","3.20","3.49","3.16"
"Hungary"," Data source"," Spirits","","3.57","4.08","3.73","3.88","3.82","3.68"
"Hungary"," Data source"," Other alcoholic beverages","","","","0","0","0","0"
"Iceland"," Data source"," All types","7.50","7.66","7.01","6.80","6.82","6.84","6.79"
"Iceland"," Data source"," Beer","4.24","4.26","3.87","3.74","3.78","3.68","3.71"
"Iceland"," Data source"," Wine","2.09","2.15","2.02","1.96","1.95","1.90","1.87"
"Iceland"," Data source"," Spirits","1.16","1.25","1.13","1.10","1.10","1.26","1.21"
"India"," Data source"," All types","3.04","3.00","3.02","3.05","3.06","2.96","2.74"
"India"," Data source"," Beer","0.23","0.21","0.20","0.20","0.19","0.18","0.17"
"India"," Data source"," Wine","0","0","0","0","0","0","0"
"India"," Data source"," Spirits","2.81","2.79","2.81","2.85","2.87","2.79","2.57"
"India"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Indonesia"," Data source"," All types","0.29","0.28","0.28","0.28","0.10","0.09","0.09"
"Indonesia"," Data source"," Beer","0.05","0.05","0.07","0.09","0.08","0.08","0.08"
"Indonesia"," Data source"," Wine","0.22","0.22","0.19","0.18","0","0","0"
"Indonesia"," Data source"," Spirits","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Indonesia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Iran (Islamic Republic of)"," Data source"," All types","","0.01","0.01","0.01","0.02","0.03","0.03"
"Iran (Islamic Republic of)"," Data source"," Beer","","0","0","0","0","0","0"
"Iran (Islamic Republic of)"," Data source"," Wine","","0","0","0","0","0","0"
"Iran (Islamic Republic of)"," Data source"," Spirits","","0.01","0.01","0.01","0.02","0.03","0.03"
"Iran (Islamic Republic of)"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Iraq"," Data source"," All types","","0.17","0.17","0.17","0.19","0.18","0.19"
"Iraq"," Data source"," Beer","","0.12","0.12","0.12","0.14","0.12","0.14"
"Iraq"," Data source"," Wine","","0","0","0","0","0","0"
"Iraq"," Data source"," Spirits","","0.04","0.04","0.04","0.05","0.05","0.04"
"Iraq"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Ireland"," Data source"," All types","11.46","10.93","11.00","10.64","11.53","11.65","11.63"
"Ireland"," Data source"," Beer","5.39","5.14","5.17","5.00","5.42","5.48","5.47"
"Ireland"," Data source"," Wine","3.21","3.06","3.08","2.98","3.23","3.26","3.26"
"Ireland"," Data source"," Spirits","2.15","1.97","1.98","1.92","2.08","2.10","2.09"
"Ireland"," Data source"," Other alcoholic beverages","0.71","0.77","0.77","0.74","0.81","0.82","0.81"
"Israel"," Data source"," All types","2.64","2.61","2.71","2.86","2.81","2.66","2.63"
"Israel"," Data source"," Beer","1.44","1.41","1.39","1.36","1.28","1.21","1.15"
"Israel"," Data source"," Wine","0.12","0.11","0.23","0.23","0.23","0.18","0.18"
"Israel"," Data source"," Spirits","1.05","1.05","1.05","1.21","1.25","1.22","1.24"
"Israel"," Data source"," Other alcoholic beverages","0.04","0.04","0.04","0.05","0.05","0.05","0.06"
"Italy"," Data source"," All types","7.08","7.14","7.56","7.35","7.48","6.98","6.95"
"Italy"," Data source"," Beer","1.80","1.78","1.73","1.70","1.70","1.69","1.66"
"Italy"," Data source"," Wine","4.58","4.61","4.97","4.86","4.99","4.45","4.45"
"Italy"," Data source"," Spirits","0.69","0.74","0.86","0.79","0.79","0.84","0.84"
"Italy"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Jamaica"," Data source"," All types","3.44","3.33","3.28","3.27","3.15","3.09","3.06"
"Jamaica"," Data source"," Beer","1.25","1.16","1.09","1.06","1.03","1.03","1.01"
"Jamaica"," Data source"," Wine","0.17","0.17","0.16","0.16","0.15","0.13","0.17"
"Jamaica"," Data source"," Spirits","1.87","1.82","1.86","1.90","1.83","1.80","1.75"
"Jamaica"," Data source"," Other alcoholic beverages","0.16","0.19","0.17","0.15","0.14","0.13","0.14"
"Japan"," Data source"," All types","","6.86","6.71","6.95","6.83","6.86","6.88"
"Japan"," Data source"," Beer","","1.25","1.22","1.28","1.27","1.29","1.32"
"Japan"," Data source"," Wine","","0.38","0.37","0.36","0.34","0.30","0.28"
"Japan"," Data source"," Spirits","","2.74","2.64","2.70","2.63","2.64","2.63"
"Japan"," Data source"," Other alcoholic beverages","","2.49","2.48","2.62","2.59","2.63","2.65"
"Jordan"," Data source"," All types","0.38","0.37","0.43","0.41","0.43","0.44","0.52"
"Jordan"," Data source"," Beer","0.07","0.07","0.07","0.05","0.05","0.04","0.10"
"Jordan"," Data source"," Wine","0.01","0.01","0.01","0.01","0.02","0.02","0.02"
"Jordan"," Data source"," Spirits","0.29","0.29","0.34","0.34","0.35","0.37","0.39"
"Jordan"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Kazakhstan"," Data source"," All types","5.80","5.92","6.06","6.26","6.48","6.35","6.59"
"Kazakhstan"," Data source"," Beer","1.77","1.78","1.79","1.92","1.98","1.86","2.04"
"Kazakhstan"," Data source"," Wine","0.38","0.38","0.37","0.37","0.37","0.35","0.35"
"Kazakhstan"," Data source"," Spirits","3.65","3.76","3.89","3.97","4.14","4.14","4.21"
"Kazakhstan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Kenya"," Data source"," All types","","1.86","1.77","2.06","1.96","1.95","1.84"
"Kenya"," Data source"," Beer","","0.74","0.64","0.93","0.96","0.93","0.97"
"Kenya"," Data source"," Wine","","0.03","0.03","0.04","0.03","0.04","0.03"
"Kenya"," Data source"," Spirits","","0.40","0.40","0.40","0.44","0.45","0.41"
"Kenya"," Data source"," Other alcoholic beverages","","0.69","0.69","0.69","0.53","0.54","0.43"
"Kiribati"," Data source"," All types","","0.36","0.36","0.36","0.37","0.55","0.49"
"Kiribati"," Data source"," Beer","","0.36","0.36","0.36","0.37","0.44","0.46"
"Kiribati"," Data source"," Wine","","0","0","0","0","0.03","0.04"
"Kiribati"," Data source"," Spirits","","0","0","0","0","0.08","0"
"Kiribati"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Kuwait"," Data source"," All types","","0.01","0.01","0.01","0.01","0.02","0.01"
"Kuwait"," Data source"," Beer","","0","0","0","0","0.01","0"
"Kuwait"," Data source"," Wine","","0","0","0","0","0","0"
"Kuwait"," Data source"," Spirits","","0.01","0.01","0.01","0.01","0.01","0.01"
"Kuwait"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Kyrgyzstan"," Data source"," All types","3.91","4.70","5.59","5.72","5.83","6.02","6.08"
"Kyrgyzstan"," Data source"," Beer","0.45","0.59","0.57","0.55","0.55","0.58","0.53"
"Kyrgyzstan"," Data source"," Wine","0.08","0.09","0.12","0.12","0.12","0.12","0.12"
"Kyrgyzstan"," Data source"," Spirits","3.37","4.02","4.89","5.05","5.15","5.32","5.43"
"Kyrgyzstan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Lao People's Democratic Republic"," Data source"," All types","","6.81","6.63","6.41","6.31","6.29","6.09"
"Lao People's Democratic Republic"," Data source"," Beer","","3.41","3.23","3.02","2.83","2.63","2.45"
"Lao People's Democratic Republic"," Data source"," Wine","","0","0","0","0","0","0"
"Lao People's Democratic Republic"," Data source"," Spirits","","3.39","3.39","3.39","3.48","3.66","3.65"
"Lao People's Democratic Republic"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Latvia"," Data source"," All types","11.19","10.82","10.60","10.43","10.20","10.11","9.83"
"Latvia"," Data source"," Beer","4.79","4.80","4.80","4.70","4.67","4.86","4.61"
"Latvia"," Data source"," Wine","1.24","1.24","1.20","1.10","1.16","1.13","1.05"
"Latvia"," Data source"," Spirits","4.48","4.13","4.00","3.99","3.77","3.57","3.64"
"Latvia"," Data source"," Other alcoholic beverages","0.68","0.65","0.60","0.64","0.60","0.55","0.53"
"Lebanon"," Data source"," All types","1.21","1.18","1.36","1.34","1.42","1.47","1.56"
"Lebanon"," Data source"," Beer","0.41","0.38","0.37","0.30","0.32","0.35","0.41"
"Lebanon"," Data source"," Wine","0.19","0.19","0.33","0.33","0.33","0.28","0.28"
"Lebanon"," Data source"," Spirits","0.60","0.59","0.64","0.69","0.75","0.82","0.85"
"Lebanon"," Data source"," Other alcoholic beverages","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Lesotho"," Data source"," All types","","2.88","2.66","2.64","2.51","2.45","2.86"
"Lesotho"," Data source"," Beer","","1.65","1.44","1.41","1.43","1.50","1.49"
"Lesotho"," Data source"," Wine","","0.09","0.09","0.09","0","0.01","0.01"
"Lesotho"," Data source"," Spirits","","0.30","0.30","0.30","0.62","0.60","0.61"
"Lesotho"," Data source"," Other alcoholic beverages","","0.83","0.83","0.83","0.46","0.35","0.76"
"Liberia"," Data source"," All types","","3.51","3.47","3.72","3.75","3.74","3.63"
"Liberia"," Data source"," Beer","","0.33","0.31","0.56","0.53","0.49","0.33"
"Liberia"," Data source"," Wine","","0.06","0.03","0.05","0.03","0.05","0.03"
"Liberia"," Data source"," Spirits","","3.10","3.10","3.10","3.19","3.18","3.28"
"Liberia"," Data source"," Other alcoholic beverages","","0.02","0.02","0.02","0","0.02","0"
"Libya"," Data source"," All types","","","","0","0.01","0","0"
"Libya"," Data source"," Beer","","","","0","0","0","0"
"Libya"," Data source"," Wine","","","","0","0","0","0"
"Libya"," Data source"," Spirits","","","","0","0.01","0","0"
"Libya"," Data source"," Other alcoholic beverages","","","","0","0","0","0"
"Lithuania"," Data source"," All types","13.61","14.42","14.82","15.14","15.15","14.88","13.61"
"Lithuania"," Data source"," Beer","5.93","6.28","6.45","6.71","6.60","6.48","5.93"
"Lithuania"," Data source"," Wine","0.99","1.03","1.08","1.10","1.10","1.08","0.99"
"Lithuania"," Data source"," Spirits","5.05","5.35","5.50","5.62","5.62","5.52","5.05"
"Lithuania"," Data source"," Other alcoholic beverages","1.65","1.76","1.79","1.72","1.83","1.80","1.65"
"Luxembourg"," Data source"," All types","11.22","11.83","11.69","11.55","11.89","12.01","11.72"
"Luxembourg"," Data source"," Beer","3.97","3.91","3.99","3.76","3.99","4.04","4.05"
"Luxembourg"," Data source"," Wine","5.00","5.47","5.23","5.34","5.40","5.44","5.28"
"Luxembourg"," Data source"," Spirits","2.25","2.46","2.48","2.46","2.50","2.54","2.40"
"Luxembourg"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Madagascar"," Data source"," All types","0.89","0.87","0.88","0.87","0.93","0.97","1.03"
"Madagascar"," Data source"," Beer","0.48","0.46","0.44","0.42","0.45","0.50","0.53"
"Madagascar"," Data source"," Wine","0.07","0.08","0.10","0.11","0.17","0.17","0.17"
"Madagascar"," Data source"," Spirits","0.34","0.34","0.34","0.34","0.31","0.30","0.33"
"Madagascar"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Malawi"," Data source"," All types","","2.00","1.99","1.99","1.83","1.86","1.67"
"Malawi"," Data source"," Beer","","0.18","0.16","0.16","0.16","0.16","0.16"
"Malawi"," Data source"," Wine","","0.02","0.02","0.02","0.02","0.02","0.02"
"Malawi"," Data source"," Spirits","","0.23","0.23","0.23","0.28","0.16","0.17"
"Malawi"," Data source"," Other alcoholic beverages","","1.58","1.58","1.58","1.38","1.52","1.33"
"Malaysia"," Data source"," All types","0.63","0.64","0.58","0.59","0.53","0.51","0.49"
"Malaysia"," Data source"," Beer","0.38","0.39","0.39","0.40","0.40","0.39","0.38"
"Malaysia"," Data source"," Wine","0.13","0.13","0.07","0.07","0","0","0"
"Malaysia"," Data source"," Spirits","0.11","0.11","0.11","0.12","0.12","0.11","0.10"
"Malaysia"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Maldives"," Data source"," All types","","1.32","1.32","1.33","1.31","1.89","1.72"
"Maldives"," Data source"," Beer","","0.41","0.41","0.41","0.42","0.50","0.50"
"Maldives"," Data source"," Wine","","0.49","0.49","0.50","0.48","0.53","0.45"
"Maldives"," Data source"," Spirits","","0.42","0.42","0.42","0.42","0.86","0.78"
"Maldives"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Mali"," Data source"," All types","","0.58","0.58","0.58","0.61","0.60","0.58"
"Mali"," Data source"," Beer","","0.09","0.09","0.09","0.08","0.08","0.07"
"Mali"," Data source"," Wine","","0.01","0.01","0.01","0.01","0.01","0.01"
"Mali"," Data source"," Spirits","","0","0","0","0","0.02","0.02"
"Mali"," Data source"," Other alcoholic beverages","","0.48","0.48","0.48","0.52","0.50","0.48"
"Malta"," Data source"," All types","8.02","7.75","7.88","7.97","7.92","7.12","7.52"
"Malta"," Data source"," Beer","2.94","2.96","2.88","2.90","3.07","2.58","2.89"
"Malta"," Data source"," Wine","2.37","2.21","2.49","2.50","2.51","2.35","2.58"
"Malta"," Data source"," Spirits","2.27","2.16","2.11","2.18","1.98","1.85","1.72"
"Malta"," Data source"," Other alcoholic beverages","0.44","0.42","0.40","0.40","0.36","0.33","0.33"
"Mauritania"," Data source"," All types","","0","0","0","0","0.01","0"
"Mauritania"," Data source"," Beer","","0","0","0","0","0","0"
"Mauritania"," Data source"," Wine","","0","0","0","0","0","0"
"Mauritania"," Data source"," Spirits","","0","0","0","0","0","0"
"Mauritania"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Mauritius"," Data source"," All types","","2.58","2.80","2.95","2.94","3.02","2.95"
"Mauritius"," Data source"," Beer","","1.39","1.67","1.84","1.84","1.84","1.80"
"Mauritius"," Data source"," Wine","","0.40","0.33","0.32","0.30","0.31","0.35"
"Mauritius"," Data source"," Spirits","","0.79","0.79","0.79","0.80","0.87","0.78"
"Mauritius"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0.01"
"Mexico"," Data source"," All types","5.53","5.28","5.19","5.16","5.31","5.32","5.15"
"Mexico"," Data source"," Beer","4.26","4.01","3.83","3.81","3.96","3.96","3.89"
"Mexico"," Data source"," Wine","0.11","0.11","0.23","0.22","0.20","0.20","0.12"
"Mexico"," Data source"," Spirits","1.13","1.14","1.11","1.10","1.12","1.12","1.11"
"Mexico"," Data source"," Other alcoholic beverages","0.03","0.03","0.03","0.03","0.03","0.03","0.03"
"Micronesia (Federated States of)"," Data source"," All types","","1.59","1.59","1.67","2.98","1.91","1.78"
"Micronesia (Federated States of)"," Data source"," Beer","","0.92","0.92","0.89","1.03","0.90","0.86"
"Micronesia (Federated States of)"," Data source"," Wine","","0.13","0.13","0.27","1.38","0.47","0.31"
"Micronesia (Federated States of)"," Data source"," Spirits","","0.52","0.52","0.50","0.56","0.51","0.60"
"Micronesia (Federated States of)"," Data source"," Other alcoholic beverages","","0.01","0.01","0.01","0.01","0.02","0.01"
"Mongolia"," Data source"," All types","","5.66","5.74","5.64","5.51","5.38","5.06"
"Mongolia"," Data source"," Beer","","2.47","2.53","2.42","2.25","2.04","1.44"
"Mongolia"," Data source"," Wine","","0.10","0.12","0.13","0.12","0.15","0.15"
"Mongolia"," Data source"," Spirits","","3.09","3.09","3.09","3.14","3.19","3.33"
"Mongolia"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Montenegro"," Data source"," All types","","6.41","6.53","6.47","6.49","6.38","7.26"
"Montenegro"," Data source"," Beer","","0.69","0.69","0.69","0.80","0.72","0.73"
"Montenegro"," Data source"," Wine","","2.76","3.00","3.01","3.02","3.05","3.99"
"Montenegro"," Data source"," Spirits","","2.83","2.71","2.63","2.54","2.47","2.37"
"Montenegro"," Data source"," Other alcoholic beverages","","0.13","0.13","0.13","0.13","0.15","0.16"
"Morocco"," Data source"," All types","","0.38","0.50","0.53","0.54","0.54","0.55"
"Morocco"," Data source"," Beer","","0.16","0.15","0.18","0.18","0.18","0.20"
"Morocco"," Data source"," Wine","","0.16","0.28","0.28","0.28","0.27","0.27"
"Morocco"," Data source"," Spirits","","0.07","0.06","0.07","0.08","0.09","0.09"
"Morocco"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Mozambique"," Data source"," All types","1.29","1.23","1.10","1.00","0.99","0.93","0.85"
"Mozambique"," Data source"," Beer","1.01","0.96","0.81","0.74","0.72","0.68","0.61"
"Mozambique"," Data source"," Wine","0.11","0.11","0.12","0.10","0.11","0.12","0.10"
"Mozambique"," Data source"," Spirits","0.16","0.15","0.17","0.16","0.15","0.13","0.13"
"Mozambique"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0","0","0","0"
"Myanmar"," Data source"," All types","","1.60","1.78","1.67","1.36","1.09","0.97"
"Myanmar"," Data source"," Beer","","0.36","0.59","0.46","0.36","0.17","0.15"
"Myanmar"," Data source"," Wine","","0.16","0.15","0.18","0","0","0"
"Myanmar"," Data source"," Spirits","","1.08","1.04","1.03","1.00","0.92","0.82"
"Myanmar"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Namibia"," Data source"," All types","","7.83","7.83","7.83","6.34","7.71","7.44"
"Namibia"," Data source"," Beer","","4.71","4.71","4.71","4.67","7.30","7.16"
"Namibia"," Data source"," Wine","","0.81","0.81","0.81","0.59","0.06","0.06"
"Namibia"," Data source"," Spirits","","1.08","1.08","1.08","0.84","0.21","0.07"
"Namibia"," Data source"," Other alcoholic beverages","","1.22","1.22","1.22","0.24","0.14","0.15"
"Nauru","  "," All types","","","","2.54","3.64","4.44","4.66"
"Nauru","  "," Beer","","","","0.56","0.50","1.82","1.83"
"Nauru","  "," Wine","","","","0.09","0.23","0.06","0.25"
"Nauru","  "," Spirits","","","","1.88","2.91","2.56","2.58"
"Nauru","  "," Other alcoholic beverages","","","","","0","0","0"
"Nauru"," Data source"," All types","","","","2.54","3.64","4.44","4.66"
"Nauru"," Data source"," Beer","","","","0.56","0.50","1.82","1.83"
"Nauru"," Data source"," Wine","","","","0.09","0.23","0.06","0.25"
"Nauru"," Data source"," Spirits","","","","1.88","2.91","2.56","2.58"
"Nauru"," Data source"," Other alcoholic beverages","","","","","0","0","0"
"Nepal"," Data source"," All types","","0.58","0.69","0.60","0.26","0.25","0.23"
"Nepal"," Data source"," Beer","","0.18","0.17","0.15","0.13","0.12","0.10"
"Nepal"," Data source"," Wine","","0.29","0.40","0.34","0","0","0"
"Nepal"," Data source"," Spirits","","0.12","0.12","0.12","0.12","0.12","0.12"
"Nepal"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
