"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Croatia"," Data source"," Beer","4.76","5.03","5.13","4.98","4.85","4.94","5.14","5.03","5.26","5.15"
"Croatia"," Data source"," Wine","5.66","5.62","5.50","5.20","5.08","6.50","6.81","7.95","7.42","7.07"
"Croatia"," Data source"," Spirits","1.24","1.25","1.24","1.27","1.27","1.31","1.83","1.81","1.84","1.81"
"Croatia"," Data source"," Other alcoholic beverages","0.42","0.42","0.41","0.39","0.38","0.38","0.03","0.03","0.04","0.04"
"Cuba"," Data source"," All types","4.04","4.28","4.13","4.19","4.49","4.40","4.41","4.12","4.07","3.94"
"Cuba"," Data source"," Beer","1.59","1.66","1.61","1.57","1.48","1.53","1.51","1.32","1.31","1.33"
"Cuba"," Data source"," Wine","0.09","0.08","0.06","0.07","0.05","0.05","0.05","0.05","0.05","0.04"
"Cuba"," Data source"," Spirits","2.33","2.53","2.44","2.53","2.93","2.80","2.85","2.76","2.71","2.57"
"Cuba"," Data source"," Other alcoholic beverages","0.02","0.02","0.02","0.02","0.02","0.02","0","0","0","0"
"Cyprus"," Data source"," All types","10.81","12.03","11.58","11.48","11.41","13.03","10.62","11.68","10.16","9.56"
"Cyprus"," Data source"," Beer","3.69","3.90","3.71","3.58","3.62","3.60","3.56","3.50","3.71","3.69"
"Cyprus"," Data source"," Wine","2.60","2.97","2.92","2.92","2.79","2.64","2.50","2.70","2.47","2.52"
"Cyprus"," Data source"," Spirits","4.52","5.17","4.95","4.97","5.00","6.79","4.55","5.47","3.97","3.35"
"Cyprus"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Czechia"," Data source"," All types","13.31","13.35","13.35","13.12","13.26","13.31","13.88","13.72","13.75","13.98"
"Czechia"," Data source"," Beer","7.00","7.15","7.03","7.03","7.39","7.55","7.63","7.57","7.46","7.64"
"Czechia"," Data source"," Wine","2.45","2.45","2.46","2.34","2.23","2.23","2.24","2.25","2.38","2.39"
"Czechia"," Data source"," Spirits","3.86","3.74","3.86","3.75","3.64","3.53","4.01","3.90","3.92","3.94"
"Czechia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Democratic People's Republic of Korea"," Data source"," All types","3.35","3.16","3.13","3.28","3.20","3.13","3.13","3.09","2.54","3.54"
"Democratic People's Republic of Korea"," Data source"," Beer","0.15","0.14","0.18","0.19","0.19","0.19","0.21","0.20","0.20","0.23"
"Democratic People's Republic of Korea"," Data source"," Wine","0","0","0","0","0","0","0","0","0","0"
"Democratic People's Republic of Korea"," Data source"," Spirits","3.20","3.02","2.95","3.09","3.01","2.94","2.92","2.89","2.34","3.31"
"Democratic People's Republic of Korea"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Democratic Republic of the Congo"," Data source"," All types","1.17","1.26","1.08","0.77","0.70","0.62","0.48","0.52","0.47","0.55"
"Democratic Republic of the Congo"," Data source"," Beer","0.54","0.53","0.48","0.41","0.33","0.31","0.27","0.27","0.26","0.29"
"Democratic Republic of the Congo"," Data source"," Wine","0.23","0.18","0.23","0.02","0.01","0.01","0.01","0","0","0"
"Democratic Republic of the Congo"," Data source"," Spirits","0.02","0.07","0.03","0.04","0.03","0.03","0.01","0.01","0.02","0.01"
"Democratic Republic of the Congo"," Data source"," Other alcoholic beverages","0.38","0.49","0.34","0.31","0.33","0.27","0.19","0.24","0.19","0.25"
"Denmark"," Data source"," All types","10.09","10.71","11.00","11.02","11.27","11.27","11.54","11.33","11.55","11.68"
"Denmark"," Data source"," Beer","4.13","4.51","4.77","4.92","5.05","5.11","5.47","5.48","5.56","5.75"
"Denmark"," Data source"," Wine","4.38","4.47","4.42","4.34","4.44","4.32","4.47","4.43","4.59","4.52"
"Denmark"," Data source"," Spirits","1.52","1.66","1.74","1.69","1.78","1.85","1.60","1.42","1.39","1.41"
"Denmark"," Data source"," Other alcoholic beverages","0.05","0.06","0.07","0.07","0","0","0","0","0","0"
"Djibouti"," Data source"," All types","0.49","0.45","0.46","1.02","1.23","1.18","1.02","1.03","0.95","1.34"
"Djibouti"," Data source"," Beer","0.21","0.17","0.18","0.20","0.21","0.24","0.24","0.30","0.22","0.23"
"Djibouti"," Data source"," Wine","0.07","0.06","0.06","0.04","0.08","0.07","0.08","0.07","0.06","0.03"
"Djibouti"," Data source"," Spirits","0.21","0.21","0.22","0.75","0.94","0.87","0.70","0.66","0.67","1.08"
"Djibouti"," Data source"," Other alcoholic beverages","0","0.01","0.01","0.03","0","0","0","0","0","0"
"Dominica"," Data source"," All types","7.45","9.74","8.51","8.62","8.12","8.42","7.15","8.36","8.62","8.86"
"Dominica"," Data source"," Beer","0.43","0.98","0.83","0.77","0.50","0.85","0.30","0.82","0.98","0.80"
"Dominica"," Data source"," Wine","0.63","1.36","1.13","0.71","0.86","0.76","0.81","0.99","0.89","1.17"
"Dominica"," Data source"," Spirits","6.35","7.38","6.53","7.11","6.69","6.79","6.03","6.51","6.72","6.85"
"Dominica"," Data source"," Other alcoholic beverages","0.05","0.03","0.02","0.03","0.07","0.01","0.01","0.03","0.02","0.04"
"Dominican Republic"," Data source"," All types","6.15","6.21","6.14","6.30","5.79","5.23","6.40","6.51","6.21","6.66"
"Dominican Republic"," Data source"," Beer","3.24","3.08","2.92","3.38","2.75","2.06","2.65","2.72","2.41","2.66"
"Dominican Republic"," Data source"," Wine","0.15","0.15","0.16","0.15","0.13","0.13","0.16","0.14","0.14","0.21"
"Dominican Republic"," Data source"," Spirits","2.68","2.91","3.00","2.70","2.85","2.98","3.59","3.64","3.65","3.78"
"Dominican Republic"," Data source"," Other alcoholic beverages","0.07","0.06","0.06","0.06","0.06","0.05","0","0","0","0"
"Ecuador"," Data source"," All types","3.88","3.77","3.64","3.54","3.56","3.66","3.70","3.87","4.12","3.97"
"Ecuador"," Data source"," Beer","2.62","2.40","2.17","2.10","1.92","1.82","1.76","1.64","1.50","1.34"
"Ecuador"," Data source"," Wine","0.04","0.04","0.07","0.05","0.04","0.05","0.05","0.04","0.05","0.03"
"Ecuador"," Data source"," Spirits","1.19","1.32","1.40","1.37","1.58","1.77","1.89","2.19","2.57","2.59"
"Ecuador"," Data source"," Other alcoholic beverages","0.02","0.02","0.01","0.01","0.01","0.01","0","0","0","0"
"Egypt"," Data source"," All types","0.20","0.23","0.20","0.18","0.16","0.16","0.15","0.15","0.14","0.14"
"Egypt"," Data source"," Beer","0.11","0.11","0.11","0.10","0.09","0.08","0.07","0.07","0.06","0.06"
"Egypt"," Data source"," Wine","0.04","0.05","0.04","0.02","0.02","0.02","0.02","0.02","0.01","0.01"
"Egypt"," Data source"," Spirits","0.05","0.06","0.06","0.05","0.05","0.05","0.06","0.06","0.06","0.07"
"Egypt"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"El Salvador"," Data source"," All types","2.48","2.59","2.73","2.66","2.67","2.78","2.98","2.85","2.76","2.67"
"El Salvador"," Data source"," Beer","0.92","0.96","1.00","0.97","0.91","1.03","1.02","1.03","1.01","0.99"
"El Salvador"," Data source"," Wine","0.03","0.03","0.03","0.03","0.03","0.03","0.09","0.02","0.02","0.04"
"El Salvador"," Data source"," Spirits","1.53","1.60","1.69","1.66","1.74","1.72","1.87","1.79","1.73","1.64"
"El Salvador"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea"," Data source"," All types","7.89","8.28","6.81","7.23","7.15","7.72","7.14","6.03","5.09","4.44"
"Equatorial Guinea"," Data source"," Beer","4.02","3.92","3.14","3.32","3.06","2.44","2.13","1.21","0.80","0.68"
"Equatorial Guinea"," Data source"," Wine","3.86","4.36","3.67","3.91","4.10","5.28","5.01","4.82","4.30","3.77"
"Equatorial Guinea"," Data source"," Spirits","0","0","0","0","0","0","0","0","0","0"
"Equatorial Guinea"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Eritrea"," Data source"," All types","0.47","0.17","1.23","0.97","1.07","0.71","0.61","0.90","0.67","0.90"
"Eritrea"," Data source"," Beer","0.25","0","0.38","0.50","0.62","0.59","0.45","0.47","0.50","0.53"
"Eritrea"," Data source"," Wine","0","0","0","0","0","0","0","0","0","0"
"Eritrea"," Data source"," Spirits","0","0","0","0","0.02","0.02","0.02","0.03","0.04","0.02"
"Eritrea"," Data source"," Other alcoholic beverages","0.22","0.16","0.85","0.46","0.44","0.10","0.14","0.40","0.14","0.36"
"Estonia"," Data source"," All types","14.32","16.38","17.37","15.83","14.70","13.23","11.55","10.36","9.22","7.90"
"Estonia"," Data source"," Beer","4.69","5.05","5.30","5.16","5.05","5.29","4.59","4.63","4.52","4.24"
"Estonia"," Data source"," Wine","1.06","1.30","1.39","1.45","1.42","0.64","0.37","0.36","0.32","0.35"
"Estonia"," Data source"," Spirits","7.20","8.20","9.28","7.95","6.99","6.61","6.11","5.05","4.10","3.08"
"Estonia"," Data source"," Other alcoholic beverages","1.37","1.83","1.40","1.27","1.24","0.69","0.49","0.32","0.28","0.23"
"Eswatini"," Data source"," All types","5.63","5.62","6.32","6.24","5.03","5.93","5.76","5.64","6.74","7.11"
"Eswatini"," Data source"," Beer","1.52","1.44","1.54","1.61","1.69","1.62","1.63","1.57","1.54","1.78"
"Eswatini"," Data source"," Wine","0.04","0.02","0.04","0.01","0.02","0.02","0.05","0.16","0.26","0.61"
"Eswatini"," Data source"," Spirits","0.03","0.02","0.41","0.50","0.16","0.94","0.44","0.03","0.47","0.08"
"Eswatini"," Data source"," Other alcoholic beverages","4.04","4.13","4.33","4.12","3.17","3.34","3.64","3.88","4.46","4.64"
"Ethiopia"," Data source"," All types","0.77","0.44","0.75","0.83","0.65","0.56","0.52","0.52","0.54","0.57"
"Ethiopia"," Data source"," Beer","0.32","0.34","0.36","0.34","0.25","0.22","0.19","0.20","0.20","0.19"
"Ethiopia"," Data source"," Wine","0.01","0","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Ethiopia"," Data source"," Spirits","0.06","0.06","0.07","0.07","0.05","0.04","0.04","0.04","0.03","0.05"
"Ethiopia"," Data source"," Other alcoholic beverages","0.39","0.04","0.32","0.41","0.34","0.29","0.28","0.28","0.30","0.33"
"Fiji"," Data source"," All types","2.32","1.96","2.10","2.07","2.02","1.63","1.76","1.85","1.93","2.05"
"Fiji"," Data source"," Beer","1.35","1.36","1.37","1.38","1.42","1.44","1.47","1.67","1.67","1.76"
"Fiji"," Data source"," Wine","0.02","0.02","0.02","0.02","0.02","0.02","0.01","0.02","0.11","0.08"
"Fiji"," Data source"," Spirits","0.95","0.58","0.72","0.67","0.58","0.16","0.28","0.16","0.16","0.21"
"Fiji"," Data source"," Other alcoholic beverages","0","0","0","0","0","0.01","0","0","0","0"
"Finland"," Data source"," All types","9.96","10.26","10.45","10.15","9.95","9.89","9.31","9.25","8.94","8.59"
"Finland"," Data source"," Beer","4.54","4.62","4.70","4.57","4.59","4.57","4.37","4.43","4.37","4.27"
"Finland"," Data source"," Wine","1.68","1.67","1.64","1.55","1.47","1.42","1.43","1.31","1.19","1.07"
"Finland"," Data source"," Spirits","2.49","2.69","2.86","2.86","2.82","2.79","2.38","2.37","2.32","2.22"
"Finland"," Data source"," Other alcoholic beverages","1.25","1.28","1.25","1.17","1.08","1.11","1.13","1.14","1.06","1.04"
"France"," Data source"," All types","12.30","12.30","12.60","12.40","12.60","13.18","13.49","13.78","13.89","13.63"
"France"," Data source"," Beer","2.20","2.20","2.30","2.40","2.30","2.24","2.29","2.25","2.15","2.08"
"France"," Data source"," Wine","7.10","7.00","7.30","7.10","7.40","8.10","8.36","8.59","8.40","8.59"
"France"," Data source"," Spirits","2.70","2.80","2.70","2.70","2.60","2.67","2.65","2.74","2.77","2.71"
"France"," Data source"," Other alcoholic beverages","0.30","0.30","0.30","0.20","0.30","0.17","0.19","0.20","0.56","0.25"
"Gabon"," Data source"," All types","8.61","8.73","8.99","7.98","7.68","8.10","6.45","8.30","9.26","8.84"
"Gabon"," Data source"," Beer","6.06","6.23","5.80","5.53","5.31","4.85","4.85","5.35","6.04","5.86"
"Gabon"," Data source"," Wine","0.93","0.93","1.15","0.97","0.84","0.99","0.84","1.27","1.55","1.52"
"Gabon"," Data source"," Spirits","1.56","1.52","1.99","1.46","1.51","2.23","0.77","1.68","1.67","1.46"
"Gabon"," Data source"," Other alcoholic beverages","0.05","0.04","0.05","0.02","0.02","0.03","0","0","0","0"
"Gambia"," Data source"," All types","3.05","2.98","3.18","3.24","3.30","3.55","3.63","3.37","3.28","3.14"
"Gambia"," Data source"," Beer","0.17","0.18","0.24","0.24","0.23","0.24","0.23","0.20","0.19","0.20"
"Gambia"," Data source"," Wine","0.03","0.04","0.05","0.03","0.05","0.05","0.04","0.05","0.02","0"
"Gambia"," Data source"," Spirits","0.01","0.01","0.05","0.04","0","0","0","0","0","0"
"Gambia"," Data source"," Other alcoholic beverages","2.85","2.76","2.85","2.94","3.03","3.26","3.37","3.12","3.07","2.93"
"Georgia"," Data source"," All types","6.88","8.05","7.64","6.29","4.70","3.74","3.36","3.02","3.09","3.71"
"Georgia"," Data source"," Beer","0.89","1.17","1.08","0.87","0.78","0.59","0.56","0.50","0.45","0.41"
"Georgia"," Data source"," Wine","3.95","4.81","4.49","3.49","2.01","1.28","1.27","1.42","1.57","2.00"
"Georgia"," Data source"," Spirits","2.04","2.07","2.06","1.93","1.91","1.87","1.53","1.10","1.07","1.30"
"Georgia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Germany"," Data source"," All types","11.61","11.75","11.89","12.14","12.04","11.83","11.92","12.25","12.46","12.91"
"Germany"," Data source"," Beer","6.34","6.35","6.48","6.73","6.62","6.29","6.43","6.67","6.71","7.16"
"Germany"," Data source"," Wine","3.11","3.24","3.24","3.13","3.13","3.06","3.14","3.14","3.21","3.18"
"Germany"," Data source"," Spirits","2.15","2.16","2.16","2.28","2.29","2.48","2.35","2.44","2.54","2.57"
"Germany"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Ghana"," Data source"," All types","1.92","2.18","1.39","1.96","1.81","1.79","1.91","1.95","1.85","1.95"
"Ghana"," Data source"," Beer","0.47","0.49","0.48","0.49","0.43","0.42","0.39","0.40","0.33","0.41"
"Ghana"," Data source"," Wine","0.12","0.15","0.14","0.11","0.08","0.08","0.07","0.05","0.04","0.04"
"Ghana"," Data source"," Spirits","0.06","0.11","0.09","0.07","0.03","0.06","0.07","0.21","0.18","0.11"
"Ghana"," Data source"," Other alcoholic beverages","1.27","1.44","0.69","1.29","1.27","1.22","1.38","1.29","1.30","1.39"
"Greece"," Data source"," All types","9.07","9.52","9.70","9.47","10.03","9.60","9.49","8.67","9.32","9.16"
"Greece"," Data source"," Beer","2.27","2.40","2.38","2.27","2.22","2.22","2.25","2.38","2.35","2.40"
"Greece"," Data source"," Wine","4.46","4.72","4.88","4.75","5.35","4.91","4.58","3.69","4.45","4.34"
"Greece"," Data source"," Spirits","2.18","2.22","2.26","2.27","2.27","2.26","2.63","2.57","2.49","2.39"
"Greece"," Data source"," Other alcoholic beverages","0.16","0.17","0.17","0.18","0.20","0.21","0.03","0.03","0.03","0.03"
"Grenada"," Data source"," All types","8.42","8.92","9.04","9.05","8.79","8.38","9.76","10.75","9.64","9.40"
"Grenada"," Data source"," Beer","3.54","3.86","4.00","4.15","3.87","3.62","3.74","3.47","3.53","3.50"
"Grenada"," Data source"," Wine","0.48","0.49","0.46","0.31","0.39","0.27","0.41","0.32","0.38","0.74"
"Grenada"," Data source"," Spirits","4.12","4.26","4.34","4.39","4.36","4.38","5.61","6.93","5.72","5.15"
"Grenada"," Data source"," Other alcoholic beverages","0.27","0.31","0.24","0.20","0.17","0.10","0.01","0.02","0.01","0.01"
"Guatemala"," Data source"," All types","2.00","2.06","2.24","2.22","2.20","2.25","2.29","2.26","2.37","2.48"
"Guatemala"," Data source"," Beer","0.80","0.88","1.03","1.05","1.05","1.10","1.04","0.93","0.99","1.04"
"Guatemala"," Data source"," Wine","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03"
"Guatemala"," Data source"," Spirits","1.17","1.15","1.17","1.14","1.11","1.11","1.22","1.29","1.35","1.40"
"Guatemala"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Guinea"," Data source"," All types","0.18","0.20","0.19","0.16","0.20","0.34","0.18","0.20","0.17","0.17"
"Guinea"," Data source"," Beer","0.15","0.17","0.15","0.12","0.16","0.16","0.16","0.16","0.15","0.15"
"Guinea"," Data source"," Wine","0.02","0.03","0.02","0.01","0.02","0.02","0.02","0.04","0.02","0.01"
"Guinea"," Data source"," Spirits","0.01","0.01","0.01","0.01","0.03","0.16","0","0","0.01","0.01"
"Guinea"," Data source"," Other alcoholic beverages","0","0","0.01","0","0","0","0","0","0","0"
"Guinea-Bissau"," Data source"," All types","2.73","2.84","3.03","3.26","3.46","3.32","2.86","2.43","2.56","2.94"
"Guinea-Bissau"," Data source"," Beer","0.45","0.30","0.36","0.37","0.36","0.43","0.38","0.32","0.33","0.41"
"Guinea-Bissau"," Data source"," Wine","0.53","0.54","0.59","0.41","0.60","0.51","0.54","0.63","0.45","0.58"
"Guinea-Bissau"," Data source"," Spirits","0.51","0.52","0.49","0.50","0.48","0.49","0.50","0.51","0.53","0.54"
"Guinea-Bissau"," Data source"," Other alcoholic beverages","1.24","1.49","1.59","1.97","2.02","1.89","1.44","0.96","1.25","1.42"
"Guyana"," Data source"," All types","5.08","5.02","5.09","4.99","5.22","8.06","8.11","7.85","6.78","6.70"
"Guyana"," Data source"," Beer","1.63","1.55","1.52","1.48","1.37","1.37","1.43","1.69","1.60","1.61"
"Guyana"," Data source"," Wine","0.02","0.02","0.09","0.01","0.01","0.02","0.02","0.02","0.01","0"
"Guyana"," Data source"," Spirits","3.40","3.41","3.45","3.46","3.80","6.64","6.67","6.14","5.17","5.09"
"Guyana"," Data source"," Other alcoholic beverages","0.03","0.03","0.03","0.03","0.03","0.03","0","0","0","0"
"Haiti"," Data source"," All types","5.90","6.00","6.15","6.26","5.34","6.13","6.67","6.13","6.24","4.81"
"Haiti"," Data source"," Beer","0.12","0.11","0.13","0.12","0.10","0.01","0.01","0.03","0.03","0.03"
"Haiti"," Data source"," Wine","0.01","0.01","0.02","0.01","0.01","0.01","0.01","0.02","0.02","0.01"
"Haiti"," Data source"," Spirits","5.76","5.87","6.01","6.13","5.22","6.11","6.65","6.08","6.19","4.77"
"Haiti"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0","0","0","0","0"
"Honduras"," Data source"," All types","2.97","3.05","3.12","3.23","3.23","3.02","3.04","3.09","2.74","2.61"
"Honduras"," Data source"," Beer","1.22","1.24","1.26","1.28","1.27","1.27","1.38","1.41","1.33","1.34"
"Honduras"," Data source"," Wine","0.02","0.03","0.01","0.02","0.04","0.02","0.02","0.02","0.01","0.04"
"Honduras"," Data source"," Spirits","1.73","1.78","1.85","1.93","1.92","1.72","1.64","1.66","1.40","1.23"
"Honduras"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Hungary"," Data source"," All types","11.46","11.64","12.55","13.16","12.94","","13.24","13.28","13.18","12.23"
"Hungary"," Data source"," Beer","4.26","4.28","4.58","4.38","4.30","","4.47","4.34","4.25","4.30"
"Hungary"," Data source"," Wine","3.21","3.25","3.85","4.53","4.50","","4.60","4.88","4.86","4.08"
"Hungary"," Data source"," Spirits","3.99","4.11","4.12","4.25","4.14","","4.17","4.06","4.07","3.85"
"Hungary"," Data source"," Other alcoholic beverages","0","0","0","","","","","","",""
"Iceland"," Data source"," All types","7.24","7.19","7.53","7.20","7.05","6.71","6.52","6.53","6.32","6.14"
"Iceland"," Data source"," Beer","3.84","3.55","3.95","3.78","3.67","3.49","3.35","3.29","3.12","3.03"
"Iceland"," Data source"," Wine","1.94","2.12","2.04","1.97","1.95","1.83","1.71","1.59","1.48","1.34"
"Iceland"," Data source"," Spirits","1.47","1.52","1.54","1.45","1.43","1.39","1.47","1.65","1.73","1.76"
"Iceland"," Data source"," Other alcoholic beverages","","","","","","","","0","0","0"
"India"," Data source"," All types","2.47","1.91","1.57","1.35","1.26","1.19","1.18","1.09","0.99","0.93"
"India"," Data source"," Beer","0.15","0.13","0.12","0.11","0.09","0.08","0.08","0.07","0.07","0.07"
"India"," Data source"," Wine","0","0","0","0","0.01","0.01","0.01","0.01","0.01","0"
"India"," Data source"," Spirits","2.33","1.77","1.44","1.24","1.16","1.10","1.10","1.00","0.92","0.86"
"India"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Indonesia"," Data source"," All types","0.09","0.08","0.07","0.07","0.07","0.06","0.05","0.05","0.06","0.06"
"Indonesia"," Data source"," Beer","0.08","0.07","0.06","0.06","0.06","0.06","0.05","0.05","0.06","0.06"
"Indonesia"," Data source"," Wine","0","0","0","0","0","0","0","0","0","0"
"Indonesia"," Data source"," Spirits","0.01","0.01","0","0","0","0","0","0","0","0"
"Indonesia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Iran (Islamic Republic of)"," Data source"," All types","0.03","0.02","0.02","0.02","0.01","0.01","0.01","0","0","0"
"Iran (Islamic Republic of)"," Data source"," Beer","0","0","0","0","0","0","0","0","0","0"
"Iran (Islamic Republic of)"," Data source"," Wine","0","0","0","0","0","0","0","0","0","0"
"Iran (Islamic Republic of)"," Data source"," Spirits","0.03","0.02","0.02","0.02","0.01","0.01","0.01","0","0","0"
"Iran (Islamic Republic of)"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Iraq"," Data source"," All types","0.20","0.17","0.15","0.03","0.18","0.32","0.07","0.15","0.17","0.20"
"Iraq"," Data source"," Beer","0.16","0.13","0.11","0","0.15","0.30","0.06","0.14","0.16","0.20"
"Iraq"," Data source"," Wine","0","0","0","0","0","0","0","0","0","0"
"Iraq"," Data source"," Spirits","0.04","0.04","0.03","0.03","0.03","0.02","0.01","0.01","0","0"
"Iraq"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Ireland"," Data source"," All types","11.27","12.42","13.37","13.38","13.42","13.14","13.07","13.98","14.06","13.87"
"Ireland"," Data source"," Beer","5.76","6.18","6.63","6.84","7.04","7.01","7.22","7.56","7.76","7.89"
"Ireland"," Data source"," Wine","2.65","2.86","3.00","2.87","2.75","2.53","2.26","2.14","1.94","1.76"
"Ireland"," Data source"," Spirits","1.99","2.45","2.68","2.57","2.55","2.45","2.43","3.11","3.02","2.98"
"Ireland"," Data source"," Other alcoholic beverages","0.87","0.93","1.06","1.10","1.08","1.15","1.15","1.16","1.34","1.23"
"Israel"," Data source"," All types","2.56","2.48","2.34","2.23","2.41","2.30","2.36","2.55","2.61","2.63"
"Israel"," Data source"," Beer","1.05","1.02","0.97","0.78","0.88","0.76","0.79","0.92","1.05","1.12"
"Israel"," Data source"," Wine","0.18","0.22","0.17","0.18","0.22","0.23","0.22","0.30","0.27","0.35"
"Israel"," Data source"," Spirits","1.27","1.19","1.15","1.21","1.27","1.24","1.36","1.32","1.29","1.16"
"Israel"," Data source"," Other alcoholic beverages","0.05","0.05","0.05","0.05","0.05","0.06","0","0","0","0"
"Italy"," Data source"," All types","6.40","6.84","7.19","7.26","7.41","8.98","9.30","9.25","9.68","9.78"
"Italy"," Data source"," Beer","1.40","1.47","1.55","1.51","1.48","1.72","1.75","1.64","1.69","1.64"
"Italy"," Data source"," Wine","4.30","4.65","4.92","4.89","5.03","6.19","6.47","6.54","6.93","7.06"
"Italy"," Data source"," Spirits","0.70","0.72","0.72","0.85","0.90","1.07","1.07","1.07","1.07","1.07"
"Italy"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Jamaica"," Data source"," All types","2.84","2.94","2.99","3.02","3.08","3.12","3.08","3.30","3.41","3.43"
"Jamaica"," Data source"," Beer","1.06","1.23","1.16","1.12","1.16","1.16","1.17","1.30","1.36","1.63"
"Jamaica"," Data source"," Wine","0.14","0.14","0.18","0.15","0.11","0.14","0.09","0.12","0.12","0.10"
"Jamaica"," Data source"," Spirits","1.49","1.40","1.49","1.58","1.65","1.64","1.82","1.88","1.94","1.70"
"Jamaica"," Data source"," Other alcoholic beverages","0.15","0.16","0.16","0.17","0.17","0.17","0","0","0","0"
"Japan"," Data source"," All types","6.98","7.06","7.28","7.48","7.99","7.69","7.83","7.87","8.02","7.96"
"Japan"," Data source"," Beer","1.38","1.47","1.63","1.67","1.72","1.74","1.81","1.97","2.21","2.50"
"Japan"," Data source"," Wine","0.25","0.25","0.24","0.26","0.29","0.31","0.27","0.28","0.28","0.29"
"Japan"," Data source"," Spirits","2.64","2.62","2.62","3.37","3.36","3.41","3.33","3.14","3.05","2.94"
"Japan"," Data source"," Other alcoholic beverages","2.70","2.72","2.79","2.18","2.61","2.22","2.42","2.48","2.48","2.23"
"Jordan"," Data source"," All types","0.59","0.61","0.59","0.58","0.55","0.54","0.54","0.54","0.55","0.49"
"Jordan"," Data source"," Beer","0.19","0.19","0.18","0.17","0.16","0.15","0.13","0.14","0.15","0.07"
"Jordan"," Data source"," Wine","0.01","0.01","0.01","0.02","0.02","0.01","0.02","0.01","0.01","0.01"
"Jordan"," Data source"," Spirits","0.38","0.40","0.39","0.38","0.36","0.37","0.39","0.39","0.39","0.41"
"Jordan"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0","0","0","0"
"Kazakhstan"," Data source"," All types","6.44","7.40","7.26","6.91","6.73","6.39","6.42","5.94","5.66","6.00"
"Kazakhstan"," Data source"," Beer","1.87","2.81","2.53","2.16","1.88","1.48","1.34","1.13","0.96","0.85"
"Kazakhstan"," Data source"," Wine","0.35","0.27","0.33","0.35","0.43","0.40","0.53","0.41","0.25","0.35"
"Kazakhstan"," Data source"," Spirits","4.22","4.33","4.40","4.40","4.42","4.50","4.55","4.41","4.45","4.80"
"Kazakhstan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Kenya"," Data source"," All types","2.04","1.79","2.20","1.96","1.49","1.29","1.19","1.40","1.35","1.31"
"Kenya"," Data source"," Beer","1.05","1.07","0.95","0.82","0.85","0.65","0.56","0.67","0.68","0.65"
"Kenya"," Data source"," Wine","0.02","0.02","0.03","0.02","0.02","0.02","0.01","0.02","0.02","0.01"
"Kenya"," Data source"," Spirits","0.41","0.44","0.44","0.45","0.51","0.49","0.48","0.54","0.55","0.54"
"Kenya"," Data source"," Other alcoholic beverages","0.56","0.26","0.79","0.67","0.11","0.12","0.14","0.16","0.11","0.11"
"Kiribati"," Data source"," All types","0.56","0.48","0.70","0.79","0.60","0.48","0.50","0.49","0.60","0.46"
"Kiribati"," Data source"," Beer","0.49","0.44","0.51","0.65","0.56","0.43","0.40","0.45","0.42","0.39"
"Kiribati"," Data source"," Wine","0.02","0.02","0.16","0.10","0.01","0","0","0","0.01","0.02"
"Kiribati"," Data source"," Spirits","0.05","0.02","0.03","0.03","0.02","0.03","0.02","0.04","0.17","0.05"
