"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Azerbaijan"," Data source"," All types","1.90","1.15","0.98","0.87","0.74","4.39","4.26","4.68","5.70","6.77"
"Azerbaijan"," Data source"," Beer","0.27","0.46","0.34","0.30","0.30","1.46","1.11","1.07","1.02","0.64"
"Azerbaijan"," Data source"," Wine","0.17","0.16","0.13","0.10","0.05","0.06","0.06","0.08","0.11","0.10"
"Azerbaijan"," Data source"," Spirits","1.45","0.53","0.51","0.47","0.40","2.88","3.09","3.53","4.57","6.02"
"Azerbaijan"," Data source"," Other alcoholic beverages","0.01","0","0","0","0","0","0","0","0","0"
"Bahamas"," Data source"," All types","8.63","9.53","10.02","10.29","10.64","9.98","10.68","10.83","11.62","12.19"
"Bahamas"," Data source"," Beer","3.15","3.63","3.84","3.79","3.82","3.73","3.56","3.60","3.69","4.04"
"Bahamas"," Data source"," Wine","1.46","1.57","1.67","1.90","2.13","1.28","1.56","1.46","1.83","1.83"
"Bahamas"," Data source"," Spirits","3.69","3.97","4.12","4.20","4.29","4.54","5.53","5.74","6.07","6.29"
"Bahamas"," Data source"," Other alcoholic beverages","0.33","0.36","0.39","0.40","0.40","0.44","0.03","0.03","0.03","0.03"
"Bahrain"," Data source"," All types","2.10","2.16","2.16","2.20","2.15","2.15","2.14","1.96","1.93","2.15"
"Bahrain"," Data source"," Beer","0.46","0.47","0.49","0.52","0.55","0.55","0.54","0.55","0.54","0.54"
"Bahrain"," Data source"," Wine","0.14","0.13","0.26","0.23","0.19","0.21","0.14","0.18","0.15","0.30"
"Bahrain"," Data source"," Spirits","1.34","1.39","1.24","1.35","1.33","1.38","1.45","1.23","1.24","1.31"
"Bahrain"," Data source"," Other alcoholic beverages","0.16","0.18","0.16","0.10","0.09","0","0","0","0","0"
"Bangladesh"," Data source"," All types","0.01","0.01","0","0","0","0","0","0","0","0.01"
"Bangladesh"," Data source"," Beer","0","0","0","0","0","0","0","0","0","0"
"Bangladesh"," Data source"," Wine","0","0","0","0","0","0","0","0","0","0"
"Bangladesh"," Data source"," Spirits","0","0","0","0","0","0","0","0","0","0"
"Bangladesh"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Barbados"," Data source"," All types","8.55","8.83","8.43","8.60","8.17","7.67","7.61","7.53","7.32","7.24"
"Barbados"," Data source"," Beer","3.18","3.45","3.15","3.29","3.22","2.98","2.89","2.89","2.87","2.73"
"Barbados"," Data source"," Wine","0.93","0.89","1.06","1.12","0.92","0.68","0.72","0.55","0.49","0.49"
"Barbados"," Data source"," Spirits","4.28","4.24","3.97","3.95","3.82","3.80","3.97","4.06","3.92","3.99"
"Barbados"," Data source"," Other alcoholic beverages","0.16","0.25","0.25","0.24","0.21","0.22","0.03","0.03","0.03","0.03"
"Belarus"," Data source"," All types","13.97","14.54","13.86","12.53","11.05","12.08","11.17","12.23","10.74","12.92"
"Belarus"," Data source"," Beer","2.77","2.92","2.72","2.32","1.85","1.33","3.20","2.73","1.15","1.19"
"Belarus"," Data source"," Wine","0.18","0.18","0.16","0.16","0.14","0.22","0.49","0.41","0.37","0.17"
"Belarus"," Data source"," Spirits","6.11","6.31","5.99","5.24","4.15","3.64","3.80","4.75","4.75","5.03"
"Belarus"," Data source"," Other alcoholic beverages","4.91","5.14","4.99","4.82","4.90","6.89","3.68","3.89","4.47","6.54"
"Belgium"," Data source"," All types","10.10","10.51","13.43","10.94","12.21","12.06","11.31","11.33","11.05","11.25"
"Belgium"," Data source"," Beer","4.94","5.04","5.20","5.58","6.03","5.95","6.14","6.09","6.08","6.15"
"Belgium"," Data source"," Wine","3.66","3.83","4.26","4.35","4.20","4.26","4.06","4.26","3.99","4.05"
